ID,prefLabel,altLabel,definition,broader,isProcedureFor,exactMatch,closeMatch,source link
https://w3id.org/eusoilvoc#AcidityExchangeable,acidity exchangeable,,Exchangeable acidity represents the amount of hydrogen (H⁺) and aluminum (Al³⁺) ions adsorbed onto soil particles that can be exchanged with the soil solution. It is a key factor in determining soil liming requirements and improving nutrient availability in acidic soils. Source: Brady & Weil (2017).,exchangeable cations,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aciexc,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aciexc
https://w3id.org/eusoilvoc#AerationPorosity,aeration porosity,,,soil porosity index,,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AerationPorosity,,
https://w3id.org/eusoilvoc#AggregatedSiltClay,aggregated silt clay,,,soil structure indirect index,,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AggregatedSiltClay,,
https://w3id.org/eusoilvoc#AgriculturalSustainability,agricultural sustainability,,,soil agricultural functions,,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AgriculturalSustainability,,
https://w3id.org/eusoilvoc#AirFilledPorosity,air filled porosity,,,soil porosity,,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AirFilledPorosity,,
https://w3id.org/eusoilvoc#AirPorosity,air porosity,,,soil porosity,,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AirPorosity,,
https://w3id.org/eusoilvoc#AirQuality,air quality,,,soil environmental functions,,http://aims.fao.org/aos/agrovoc/c_a2ef545f | http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AirQuality | http://opendata.inrae.fr/thesaurusINRAE/c_4762 | http://www.eionet.europa.eu/gemet/concept/270 | https://soilwise-he.github.io/soil-health#AirQuality,,
https://w3id.org/eusoilvoc#AirRatio,air ratio,,,soil porosity,,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AirRatio,,
https://w3id.org/eusoilvoc#Aluminium,aluminium,,,soil contaminants,,http://aims.fao.org/aos/agrovoc/c_317 | http://opendata.inrae.fr/thesaurusINRAE/c_15702 | http://www.eionet.europa.eu/gemet/concept/353 | https://soilwise-he.github.io/soil-health#Aluminium,,
https://w3id.org/eusoilvoc#AluminiumExchangeableBase,aluminium exchangeable base,,Aluminium ions bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,aluminium,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aluexc,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aluexc
https://w3id.org/eusoilvoc#AluminiumExtractableElements,aluminium extractable elements,aluminium extractable element,Aluminium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),aluminium,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aluext,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aluext
https://w3id.org/eusoilvoc#AluminiumTotalElements,aluminium total elements,aluminium total element,"Total concentration of aluminium in the soil, including both soluble and insoluble forms, typically measured after complete digestion of the soil sample.",aluminium,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Alutot,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Alutot
https://w3id.org/eusoilvoc#AntecedentSoilMoistureContents,antecedent soil moisture contents,antecedent soil moisture content,,soil moisture contents,,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AntecedentSoilMoistureContent,,
https://w3id.org/eusoilvoc#AvailableWaterHoldingCapacity,available water holding capacity,,"Available water capacity (AWC) measures the volume of water soil can retain between field capacity and the permanent wilting point. It represents the water accessible to plants for uptake. High AWC supports better plant growth, while low AWC may necessitate irrigation. Source: USDA NRCS.",soil water holding capacity,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Avavol,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Avavol
