uri,total_count,sources
https://soilwise-he.github.io/soil-health#MicrobialBiomass,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Leptosols,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Clay,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilPollution,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilDegradation,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilOrganicCarbon,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilOrganicMatter,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#CationExchangeCapacity,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Bioturbation,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilSolution,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Adsorption,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Mesofauna,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilWaterContent,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#AggregateStability,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilTexture,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Evapotranspiration,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#MineralFertilisers,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Sand,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Entisols,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilStructure,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Topsoil,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Subsoil,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#ParentMaterial,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#AgriculturalSoils,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilErosion,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Cambisols,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Lixisols,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#HydraulicConductivity,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Alfisols,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilProperties,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilpH,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilFertility,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilTemperature,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#AvailableWaterCapacity,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Ammonia,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilStability,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Ammonium,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Denitrification,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#AmmoniumNitrogen,4,"gpt-4.1, gpt-4o, keywords, thesauri"
