prefLabel,altLabels,displayName,uri,baseline_origin
A horizons,,A horizons,http://aims.fao.org/aos/agrovoc/c_47a98f68,NARROWER_DESCENDANT
abrasion,,abrasion,http://aims.fao.org/aos/agrovoc/c_9709308a,NARROWER_DESCENDANT
acid soils,,acid soils,http://aims.fao.org/aos/agrovoc/c_89,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
acid sulphate soils,acid sulfate soils,acid sulphate soils (acid sulfate soils),http://aims.fao.org/aos/agrovoc/c_36929,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Acrisols,ultisols,Acrisols (ultisols),http://aims.fao.org/aos/agrovoc/c_101,NARROWER_DESCENDANT
aeroponics,,aeroponics,http://aims.fao.org/aos/agrovoc/c_34200,NARROWER_DESCENDANT
age of soil,soil age,age of soil (soil age),http://aims.fao.org/aos/agrovoc/c_7157,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
agricultural lime,,agricultural lime,http://aims.fao.org/aos/agrovoc/c_12182,NARROWER_DESCENDANT
agricultural soils,,agricultural soils,http://aims.fao.org/aos/agrovoc/c_33934,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
agrology,,agrology,http://aims.fao.org/aos/agrovoc/c_8688,NARROWER_DESCENDANT
Alisols,,Alisols,http://aims.fao.org/aos/agrovoc/c_479c499a,NARROWER_DESCENDANT
alkaline soils,,alkaline soils,http://aims.fao.org/aos/agrovoc/c_268,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
alluvial soils,,alluvial soils,http://aims.fao.org/aos/agrovoc/c_296,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
aluminium mulches,,aluminium mulches,http://aims.fao.org/aos/agrovoc/c_207ace25,NARROWER_DESCENDANT
ammonium fixation,,ammonium fixation,http://aims.fao.org/aos/agrovoc/c_32373,NARROWER_DESCENDANT
Andosols,andic soils; andisols,"Andosols (andic soils, andisols)",http://aims.fao.org/aos/agrovoc/c_404,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
anthropogenic soils,anthropogenic soil types; manmade soils,"anthropogenic soils (anthropogenic soil types, manmade soils)",http://aims.fao.org/aos/agrovoc/c_486,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Anthrosols,,Anthrosols,http://aims.fao.org/aos/agrovoc/c_4515b13e,NARROWER_DESCENDANT
aquaponics,,aquaponics,http://aims.fao.org/aos/agrovoc/c_9001000,NARROWER_DESCENDANT
arable soils,cultivable soil,arable soils (cultivable soil),http://aims.fao.org/aos/agrovoc/c_568,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Arenosols,,Arenosols,http://aims.fao.org/aos/agrovoc/c_601,NARROWER_DESCENDANT
arid soils,,arid soils,http://aims.fao.org/aos/agrovoc/c_612,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
