prefLabel,altLabels,displayName,uri,confidence
soil,,soil,http://aims.fao.org/aos/agrovoc/c_7156,N/A
edaphic factors,soil factors,edaphic factors (soil factors),http://aims.fao.org/aos/agrovoc/c_15617,N/A
fine soil,,fine soil,http://aims.fao.org/aos/agrovoc/c_5749f32e,N/A
losses from soil,losses from soil systems,losses from soil (losses from soil systems),http://aims.fao.org/aos/agrovoc/c_36778,N/A
minerals,,minerals,http://aims.fao.org/aos/agrovoc/c_4857,N/A
pedon,,pedon,http://aims.fao.org/aos/agrovoc/c_7f60f575,N/A
plant litter,leaf litter,plant litter (leaf litter),http://aims.fao.org/aos/agrovoc/c_24064,N/A
rhizosphere,root zone,rhizosphere (root zone),http://aims.fao.org/aos/agrovoc/c_6569,N/A
soil air,earth atmosphere; soil atmosphere,"soil air (earth atmosphere, soil atmosphere)",http://aims.fao.org/aos/agrovoc/c_7158,N/A
soil improvement,,soil improvement,http://aims.fao.org/aos/agrovoc/c_36315,N/A
soil inoculation,,soil inoculation,http://aims.fao.org/aos/agrovoc/c_14396,N/A
soil organic matter,SOM,soil organic matter (SOM),http://aims.fao.org/aos/agrovoc/c_35657,N/A
soil sampling,,soil sampling,http://aims.fao.org/aos/agrovoc/c_25271,N/A
soil skeleton,,soil skeleton,http://aims.fao.org/aos/agrovoc/c_3fba1536,N/A
soil solution,,soil solution,http://aims.fao.org/aos/agrovoc/c_7192,N/A
subsoil,,subsoil,http://aims.fao.org/aos/agrovoc/c_7486,N/A
topsoil,top soil,topsoil (top soil),http://aims.fao.org/aos/agrovoc/c_7812,N/A
soil investigations,,soil investigations,http://aims.fao.org/aos/agrovoc/c_8595c402,N/A
soil transport processes,solute movement in soil; solute transport in soil; mass transfer in soil,"soil transport processes (solute movement in soil, solute transport in soil, mass transfer in soil)",http://aims.fao.org/aos/agrovoc/c_7202,N/A
soil water,,soil water,http://aims.fao.org/aos/agrovoc/c_7205,N/A
subsoiling,,subsoiling,http://aims.fao.org/aos/agrovoc/c_15593,N/A
