prefLabel,altLabels,displayName,uri,confidence
sawing,,sawing,http://aims.fao.org/aos/agrovoc/c_24079,0.99
equipment,instruments; tools; installations; appliances; implements; machinery,"equipment (instruments, tools, installations, appliances, implements, machinery)",http://aims.fao.org/aos/agrovoc/c_2631,0.99
entities,,entities,http://aims.fao.org/aos/agrovoc/c_330892,0.99
activities,,activities,http://aims.fao.org/aos/agrovoc/c_330834,0.99
hyperchlorhydria,,hyperchlorhydria,http://aims.fao.org/aos/agrovoc/c_23817,0.99
ocean acidification,,ocean acidification,http://aims.fao.org/aos/agrovoc/c_51289d95,0.99
deep-sea fans,abyssal cones; sea fans; submarine fans,"deep-sea fans (abyssal cones, sea fans, submarine fans)",http://aims.fao.org/aos/agrovoc/c_fb856911,0.99
fuels,,fuels,http://aims.fao.org/aos/agrovoc/c_3136,0.98
particle boards,hardboard; chipboard; flakeboards,"particle boards (hardboard, chipboard, flakeboards)",http://aims.fao.org/aos/agrovoc/c_5600,0.98
water,,water,http://aims.fao.org/aos/agrovoc/c_8309,0.98
fertilizer legislation,,fertilizer legislation,http://aims.fao.org/aos/agrovoc/c_229de4d7,0.98
quality,,quality,http://aims.fao.org/aos/agrovoc/c_6400,0.98
toxicity,,toxicity,http://aims.fao.org/aos/agrovoc/c_7826,0.98
blood pH,,blood pH,http://aims.fao.org/aos/agrovoc/c_33956,0.98
gas gangrene,,gas gangrene,http://aims.fao.org/aos/agrovoc/c_16737,0.98
standard sea water,,standard sea water,http://aims.fao.org/aos/agrovoc/c_59a01e33,0.98
CTD profilers,conductivity-temperature-depth profilers; conductivity-temperature depth profilers; CTD probes; CTD sensors,"CTD profilers (conductivity-temperature-depth profilers, conductivity-temperature depth profilers, CTD probes, CTD sensors)",http://aims.fao.org/aos/agrovoc/c_15de7dc5,0.98
thermosalinographs,,thermosalinographs,http://aims.fao.org/aos/agrovoc/c_c429057d,0.98
systems,,systems,http://aims.fao.org/aos/agrovoc/c_330985,0.98
steel,,steel,http://aims.fao.org/aos/agrovoc/c_7384,0.98
triple burden of malnutrition,,triple burden of malnutrition,http://aims.fao.org/aos/agrovoc/c_40c766ef,0.98
agents,,agents,http://aims.fao.org/aos/agrovoc/c_49873,0.98
phenomena,,phenomena,http://aims.fao.org/aos/agrovoc/c_330704,0.97
materials,,materials,http://aims.fao.org/aos/agrovoc/c_92337,0.97
coastal landforms,coastal topographic features; shoreline features,"coastal landforms (coastal topographic features, shoreline features)",http://aims.fao.org/aos/agrovoc/c_606d2800,0.97
beaches,,beaches,http://aims.fao.org/aos/agrovoc/c_850,0.97
measure,,measure,http://aims.fao.org/aos/agrovoc/c_330493,0.97
physical phenomena,,physical phenomena,http://aims.fao.org/aos/agrovoc/c_27944,0.97
resource depletion,,resource depletion,http://aims.fao.org/aos/agrovoc/c_28017,0.97
hydraulic engineering,,hydraulic engineering,http://aims.fao.org/aos/agrovoc/c_3713,0.97
maps,,maps,http://aims.fao.org/aos/agrovoc/c_b43d8acf,0.97
location,,location,http://aims.fao.org/aos/agrovoc/c_330988,0.97
STD profilers,salinity-temperature-depth profilers; STD probes; STD sensors,"STD profilers (salinity-temperature-depth profilers, STD probes, STD sensors)",http://aims.fao.org/aos/agrovoc/c_0ad3a043,0.97
climatic zones,cllimate zones,climatic zones (cllimate zones),http://aims.fao.org/aos/agrovoc/c_1669,0.97
hypokalaemia,,hypokalaemia,http://aims.fao.org/aos/agrovoc/c_24471,0.97
chemicals,,chemicals,http://aims.fao.org/aos/agrovoc/c_1520,0.97
organisms,gaeabionta; life on earth,"organisms (gaeabionta, life on earth)",http://aims.fao.org/aos/agrovoc/c_49904,0.96
injurious factors,harmful factors,injurious factors (harmful factors),http://aims.fao.org/aos/agrovoc/c_3872,0.96
natural phenomena,,natural phenomena,http://aims.fao.org/aos/agrovoc/c_330740,0.96
shore protection,coast protection; protection (coastal),"shore protection (coast protection, protection (coastal))",http://aims.fao.org/aos/agrovoc/c_489d91bb,0.96
beach features,backshore,beach features (backshore),http://aims.fao.org/aos/agrovoc/c_cec84345,0.96
coast defences,,coast defences,http://aims.fao.org/aos/agrovoc/c_e6f9b468,0.96
biological phenomena,,biological phenomena,http://aims.fao.org/aos/agrovoc/c_49871,0.96
pelagic sedimentation,,pelagic sedimentation,http://aims.fao.org/aos/agrovoc/c_f6a4597e,0.96
rock mechanics,,rock mechanics,http://aims.fao.org/aos/agrovoc/c_25345,0.96
deficiencies,,deficiencies,http://aims.fao.org/aos/agrovoc/c_330738,0.96
salinity maximum layer,,salinity maximum layer,http://aims.fao.org/aos/agrovoc/c_44eab4c7,0.96
salinity minimum layer,,salinity minimum layer,http://aims.fao.org/aos/agrovoc/c_697e4400,0.96
seawater,sea water,seawater (sea water),http://aims.fao.org/aos/agrovoc/c_6903,0.96
order (taxa),,order (taxa),http://aims.fao.org/aos/agrovoc/c_330936,0.96
acidulants,,acidulants,http://aims.fao.org/aos/agrovoc/c_93,0.96
processing,transformation (of products); operational processing,"processing (transformation (of products), operational processing)",http://aims.fao.org/aos/agrovoc/c_6195,0.96
choice of species,choice of breed; species selection,"choice of species (choice of breed, species selection)",http://aims.fao.org/aos/agrovoc/c_33964,0.96
family (taxa),familia,family (taxa) (familia),http://aims.fao.org/aos/agrovoc/c_330937,0.96
chemical compounds,,chemical compounds,http://aims.fao.org/aos/agrovoc/c_49870,0.96
detoxicants,antidotes; narcotic antagonists,"detoxicants (antidotes, narcotic antagonists)",http://aims.fao.org/aos/agrovoc/c_2218,0.96
requirements,,requirements,http://aims.fao.org/aos/agrovoc/c_331040,0.95
biology,,biology,http://aims.fao.org/aos/agrovoc/c_925,0.95
biochemical processes,,biochemical processes,http://aims.fao.org/aos/agrovoc/c_331094,0.95
construction materials,building materials,construction materials (building materials),http://aims.fao.org/aos/agrovoc/c_1141,0.95
substances,,substances,http://aims.fao.org/aos/agrovoc/c_330705,0.95
alternative methods,,alternative methods,http://aims.fao.org/aos/agrovoc/c_36555,0.95
chemistry,,chemistry,http://aims.fao.org/aos/agrovoc/c_1522,0.95
beach accretion,,beach accretion,http://aims.fao.org/aos/agrovoc/c_c91f415e,0.95
foliar fertilization,,foliar fertilization,http://aims.fao.org/aos/agrovoc/c_27438,0.95
geology,,geology,http://aims.fao.org/aos/agrovoc/c_3232,0.95
resource management,resource exploitation; resource development; resource utilization; rehabilitation of natural resources,"resource management (resource exploitation, resource development, resource utilization, rehabilitation of natural resources)",http://aims.fao.org/aos/agrovoc/c_6524,0.95
chemical reactions,,chemical reactions,http://aims.fao.org/aos/agrovoc/c_25191,0.95
features,,features,http://aims.fao.org/aos/agrovoc/c_331061,0.95
engineering,,engineering,http://aims.fao.org/aos/agrovoc/c_2571,0.95
physics,,physics,http://aims.fao.org/aos/agrovoc/c_5833,0.95
application,,application,http://aims.fao.org/aos/agrovoc/c_331436,0.95
surveys,inventories,surveys (inventories),http://aims.fao.org/aos/agrovoc/c_7537,0.95
UNCCD,United Nations Convention to Combat Desertification,UNCCD (United Nations Convention to Combat Desertification),http://aims.fao.org/aos/agrovoc/c_1371200255610,0.95
bones,skeleton,bones (skeleton),http://aims.fao.org/aos/agrovoc/c_1001,0.95
crop management,,crop management,http://aims.fao.org/aos/agrovoc/c_16094,0.95
water resources,,water resources,http://aims.fao.org/aos/agrovoc/c_8325,0.95
halocline,,halocline,http://aims.fao.org/aos/agrovoc/c_a62d336e,0.95
potential density,,potential density,http://aims.fao.org/aos/agrovoc/c_d405d820,0.95
surface salinity,sea surface salinity; water surface salinity,"surface salinity (sea surface salinity, water surface salinity)",http://aims.fao.org/aos/agrovoc/c_0738cb4f,0.95
energy security,,energy security,http://aims.fao.org/aos/agrovoc/c_a731bb99,0.95
deltas,,deltas,http://aims.fao.org/aos/agrovoc/c_2170,0.95
Bifidobacterium,,Bifidobacterium,http://aims.fao.org/aos/agrovoc/c_23898,0.95
species (taxa),,species (taxa),http://aims.fao.org/aos/agrovoc/c_331243,0.95
measurement,size determination; measuring; mensuration; gauging,"measurement (size determination, measuring, mensuration, gauging)",http://aims.fao.org/aos/agrovoc/c_4668,0.95
anthropogenic changes,,anthropogenic changes,http://aims.fao.org/aos/agrovoc/c_a8524c01,0.95
plant parts,,plant parts,http://aims.fao.org/aos/agrovoc/c_330912,0.95
nomadism,,nomadism,http://aims.fao.org/aos/agrovoc/c_16142,0.95
metallic elements,,metallic elements,http://aims.fao.org/aos/agrovoc/c_4774,0.95
depth,deepness,depth (deepness),http://aims.fao.org/aos/agrovoc/c_2190,0.94
fauna,,fauna,http://aims.fao.org/aos/agrovoc/c_2821,0.94
hydroponics,water culture,hydroponics (water culture),http://aims.fao.org/aos/agrovoc/c_3734,0.94
reef formation,,reef formation,http://aims.fao.org/aos/agrovoc/c_272677a7,0.94
sedimentology,,sedimentology,http://aims.fao.org/aos/agrovoc/c_49959552,0.94
mechanics,,mechanics,http://aims.fao.org/aos/agrovoc/c_35220,0.94
properties,,properties,http://aims.fao.org/aos/agrovoc/c_49874,0.94
hyperosmotic shock,,hyperosmotic shock,http://aims.fao.org/aos/agrovoc/c_36488,0.94
hypoosmotic shock,,hypoosmotic shock,http://aims.fao.org/aos/agrovoc/c_36489,0.94
salinity microstructure,,salinity microstructure,http://aims.fao.org/aos/agrovoc/c_2e7b41f5,0.94
environmental impact,environmental effects,environmental impact (environmental effects),http://aims.fao.org/aos/agrovoc/c_24420,0.94
asbestos,,asbestos,http://aims.fao.org/aos/agrovoc/c_28233,0.94
natural resources,,natural resources,http://aims.fao.org/aos/agrovoc/c_5091,0.94
dimercaprol,,dimercaprol,http://aims.fao.org/aos/agrovoc/c_10378,0.94
penicillamine,,penicillamine,http://aims.fao.org/aos/agrovoc/c_13197,0.94
rockwool,woolrock,rockwool (woolrock),http://aims.fao.org/aos/agrovoc/c_24117,0.93
nutrition,,nutrition,http://aims.fao.org/aos/agrovoc/c_49892,0.93
