concept,prefLabel,altLabels
https://soilwise-he.github.io/soil-health#AbioticEnvironment,abiotic environment,
https://soilwise-he.github.io/soil-health#Abundance,abundance,
https://soilwise-he.github.io/soil-health#AbundanceOfSpeciesPopulations,abundance of species populations,abundance of species population
https://soilwise-he.github.io/soil-health#AcceptableRiskLevels,acceptable risk levels,acceptable risk level
https://soilwise-he.github.io/soil-health#AccumulationInSoil,accumulation in soil,
https://soilwise-he.github.io/soil-health#AcidForestSoils,acid forest soils,acid forest soil
https://soilwise-he.github.io/soil-health#AcidNeutralizationCapacity,acid neutralization capacity,
https://soilwise-he.github.io/soil-health#AcidPrecipitation,acidic precipitation,
https://soilwise-he.github.io/soil-health#AcidicpH,acidic pH,
https://soilwise-he.github.io/soil-health#Acidification,acidification,
https://soilwise-he.github.io/soil-health#Acidifiers,acidifiers,acidifier
https://soilwise-he.github.io/soil-health#Acids,acids,acid
https://soilwise-he.github.io/soil-health#ActinomycetesAmount,actinomycetes amount,actinomycete amount
https://soilwise-he.github.io/soil-health#ActinomycetesPresence,actinomycetes presence,actinomycete presence
https://soilwise-he.github.io/soil-health#Action,action,
https://soilwise-he.github.io/soil-health#ActiveSoilLife,active soil life,
https://soilwise-he.github.io/soil-health#ActivityMonitoring,activity monitoring,
https://soilwise-he.github.io/soil-health#ActualLandUse,actual land use,
https://soilwise-he.github.io/soil-health#ActualPrecompressionStress,actual precompression stress,
https://soilwise-he.github.io/soil-health#ActualSoilErosionRate,actual soil erosion rate,
https://soilwise-he.github.io/soil-health#ActualSoilGasFluxes,actual soil gas fluxes,actual soil gas flux
https://soilwise-he.github.io/soil-health#ActualSoilHeatFluxes,actual soil heat fluxes,actual soil heat flux
https://soilwise-he.github.io/soil-health#ActualSoilStress,actual soil stress,
https://soilwise-he.github.io/soil-health#ActualSoilWaterFluxes,actual soil water fluxes,actual soil water flux
https://soilwise-he.github.io/soil-health#ActualState,actual state,
https://soilwise-he.github.io/soil-health#ActualWaterBodyUse,actual water body use,
https://soilwise-he.github.io/soil-health#AdditionalInputs,additional inputs,additional input
https://soilwise-he.github.io/soil-health#AdditionalMechanicalStress,additional mechanical stress,
https://soilwise-he.github.io/soil-health#AdditionalStress,additional stress,
https://soilwise-he.github.io/soil-health#AdjacentLocations,adjacent locations,adjacent location
https://soilwise-he.github.io/soil-health#AdjacentProperties,adjacent properties,adjacent property
https://soilwise-he.github.io/soil-health#Adsorption,adsorption,
https://soilwise-he.github.io/soil-health#AffectedLand,affected land,
https://soilwise-he.github.io/soil-health#Agent,agent,
https://soilwise-he.github.io/soil-health#AggregateStability,aggregate stability,
https://soilwise-he.github.io/soil-health#AgriculturalAreaUnderSevereErosion,agricultural area under severe erosion,
https://soilwise-he.github.io/soil-health#AgriculturalFields,agricultural fields,agricultural field
https://soilwise-he.github.io/soil-health#AgriculturalIntensification,agricultural intensification,
