identifier,label,uri,class
https://soilwise-he.github.io/soil-health#MicrobialBiomass,microbial biomass,http://opendata.inrae.fr/thesaurusINRAE/c_6432,soil biological properties
https://soilwise-he.github.io/soil-health#SoilPollution,soil pollution,http://aims.fao.org/aos/agrovoc/c_7183,soil threats
https://soilwise-he.github.io/soil-health#SoilOrganicMatter,soil organic matter,http://aims.fao.org/aos/agrovoc/c_35657,soil chemical properties
https://soilwise-he.github.io/soil-health#Decomposition,decomposition,http://www.eionet.europa.eu/gemet/concept/2014,soil functions
https://soilwise-he.github.io/soil-health#Carbon,carbon,http://aims.fao.org/aos/agrovoc/c_1301,soil chemical properties
https://soilwise-he.github.io/soil-health#Water,water,http://aims.fao.org/aos/agrovoc/c_8309,soil physical properties
https://soilwise-he.github.io/soil-health#MineralFertilisers,mineral fertilisers,http://aims.fao.org/aos/agrovoc/c_27870,soil chemical properties
https://soilwise-he.github.io/soil-health#SoilOrganicCarbon,soil organic carbon,http://aims.fao.org/aos/agrovoc/c_389fe908,soil chemical properties
https://soilwise-he.github.io/soil-health#Biodiversity,biodiversity,http://aims.fao.org/aos/agrovoc/c_33949,soil biological properties
https://soilwise-he.github.io/soil-health#Respiration,respiration,http://aims.fao.org/aos/agrovoc/c_9421,soil biological properties
https://soilwise-he.github.io/soil-health#Nutrients,nutrients,http://aims.fao.org/aos/agrovoc/c_5274,soil chemical properties
https://soilwise-he.github.io/soil-health#AggregateStability,aggregate stability,http://opendata.inrae.fr/thesaurusINRAE/c_4714,soil physical properties
https://soilwise-he.github.io/soil-health#SoilErosion,soil erosion,http://opendata.inrae.fr/thesaurusINRAE/c_1543,soil threats
https://soilwise-he.github.io/soil-health#Urbanisation,urbanisation,http://aims.fao.org/aos/agrovoc/c_8088,soil threats
https://soilwise-he.github.io/soil-health#Alfisols,alfisols,http://aims.fao.org/aos/agrovoc/c_4470,soil classification
https://soilwise-he.github.io/soil-health#SoilProperties,soil properties,http://aims.fao.org/aos/agrovoc/c_330883,
https://soilwise-he.github.io/soil-health#SoilFertility,soil fertility,http://aims.fao.org/aos/agrovoc/c_7170,soil functions
https://soilwise-he.github.io/soil-health#FoodProduction,food production,http://aims.fao.org/aos/agrovoc/c_3025,soil functions
https://soilwise-he.github.io/soil-health#Plants,plants,http://aims.fao.org/aos/agrovoc/c_5993,soil biological properties
https://soilwise-he.github.io/soil-health#Vegetation,vegetation,http://aims.fao.org/aos/agrovoc/c_8176,soil biological properties
https://soilwise-he.github.io/soil-health#SoilStability,soil stability,http://opendata.inrae.fr/thesaurusINRAE/c_1400,soil physical properties
https://soilwise-he.github.io/soil-health#EcosystemServices,ecosystem services,http://aims.fao.org/aos/agrovoc/c_1348040570280,soil functions
https://soilwise-he.github.io/soil-health#EnvironmentalDegradation,environmental degradation,http://aims.fao.org/aos/agrovoc/c_34821,soil threats
https://soilwise-he.github.io/soil-health#BulkDensity,bulk density,http://opendata.inrae.fr/thesaurusINRAE/c_991,soil physical properties
https://soilwise-he.github.io/soil-health#SoilNutrientAvailability,soil nutrient availability,,soil chemical properties
https://soilwise-he.github.io/soil-health#PlantResidues,plant residues,http://aims.fao.org/aos/agrovoc/c_16118,soil management
https://soilwise-he.github.io/soil-health#AvailableWaterCapacity,available water capacity,http://opendata.inrae.fr/thesaurusINRAE/c_6446,soil physical properties
https://soilwise-he.github.io/soil-health#CationExchangeCapacity,cation exchange capacity,http://aims.fao.org/aos/agrovoc/c_24981,soil chemical properties
https://soilwise-he.github.io/soil-health#SoilDegradation,soil degradation,http://aims.fao.org/aos/agrovoc/c_7168,soil threats
https://soilwise-he.github.io/soil-health#FoodSecurity,food security,http://aims.fao.org/aos/agrovoc/c_10967,soil functions
