ID;preflabel;definition ;SoilVoc_concepts;broader match;exact match;close match;source (name type of source DOI, ISBN etc);publishing organisation;titel or reference to document
soil_classification_soil;soil;the top layer of the Earth’s crust, situated between the bedrock or the parent material and the land surface, and which is composed of mineral particles, organic matter, water, air and living organisms;https://soilwise-he.github.io/soil-health#Soil; ;"https://soilwise-he.github.io/soil-health#Soil; http://aims.fao.org/aos/agrovoc/c_7156; http://opendata.inrae.fr/thesaurusINRAE/c_1524; http://www.eionet.europa.eu/gemet/concept/7843; http://id.agrisemantics.org/gacs/C113"; ;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
ecosystem_services_ecosystem;ecosystem;"a dynamic complex of plant, animal and micro-organism communities and their non-living environment, interacting as a functional unit;"; ;;" http://www.eionet.europa.eu/gemet/concept/2519; http://purl.obolibrary.org/obo/ENVO_01001110";"http://aims.fao.org/aos/agrovoc/c_2482; http://opendata.inrae.fr/thesaurusINRAE/c_8373";https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
ecossystem_services_ecosystem_services;ecosystem services;the direct or indirect contributions of ecosystems to the environmental, economic, social, cultural and other benefits that people derive from those ecosystems;https://soilwise-he.github.io/soil-health#EcosystemServices; ;"https://soilwise-he.github.io/soil-health#EcosystemServices; http://aims.fao.org/aos/agrovoc/c_1348040570280; http://www.eionet.europa.eu/gemet/concept/15138";http://opendata.inrae.fr/thesaurusINRAE/c_1611;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_functions_soil_biodiversity;soil biodiveristy;the variation in soil life, from genes to communities of organisms, and the ecological complexes of which they are part, that is complexes ranging from soil micro-habitats to landscapes;https://soilwise-he.github.io/soil-health#SoilBiologicalProperties; ;"http://www.eionet.europa.eu/gemet/concept/15296; http://opendata.inrae.fr/thesaurusINRAE/c_642; ";https://soilwise-he.github.io/soil-health#SoilBiologicalProperties;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_functions_soil_health;soil health;the physical, chemical and biological condition of soil, determining its capacity to function as a vital living system and to provide ecosystem services;https://soilwise-he.github.io/soil-health#SoilHealth;http://aims.fao.org/aos/agrovoc/c_a9645d28;https://soilwise-he.github.io/soil-health#SoilHealth: http://opendata.inrae.fr/thesaurusINRAE/c_2d69fde2: ; ;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
ecosustem_services_soil_resilience;soil resilience;the ability of soil to preserve its functions and maintain its capacity to provide ecosystem services, and to withstand and recover from disturbances;https://soilwise-he.github.io/soil-health#SoilIndicators;http://aims.fao.org/aos/agrovoc/c_1374480530924; ; ;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_management_soil_management_practices;soil management practices;practices that ipact the physical, chemical, or biological properties of the soil;https://soilwise-he.github.io/soil-health#SoilManagement;http://aims.fao.org/aos/agrovoc/c_7176; ;https://soilwise-he.github.io/soil-health#SoilManagement;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
;soil district;a part of the territory of a Member State, which has been delineated by that Member State in accordance with this Directive;https://soilwise-he.github.io/soil-health#Physiography; ; ; ;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
;soil unit;a spatially discrete area within a soil district resulting from the intersection of sets of spatial data used as factors for statistical homogeneity within that soil district;https://soilwise-he.github.io/soil-health#SoilClassification;http://aims.fao.org/aos/agrovoc/c_7195; ;;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
soil_classification_soil_descriptor;soil descriptor; a parameter describing a physical, chemical or biological characteristic of soil health;https://soilwise-he.github.io/soil-health#SoilDescription; ;;https://soilwise-he.github.io/soil-health#SoilDescription;https://eur-lex.europa.eu/eli/dir/2025/2360/oj;European Union;Directive (EU) 2025/2360 of the European Parliament and of the Council of 12 November 2025 on soil monitoring and resilience (Soil Monitoring Law)
